"","Date","tmax","tmin","prcp"
"1",1871-01-01,NA,NA,0.06
"2",1871-01-02,NA,NA,0
"3",1871-01-03,NA,NA,0.03
"4",1871-01-04,NA,NA,0
"5",1871-01-05,NA,NA,0
"6",1871-01-06,NA,NA,0
"7",1871-01-07,NA,NA,0.02
"8",1871-01-08,NA,NA,0.17
"9",1871-01-09,NA,NA,0.06
"10",1871-01-10,NA,NA,0.01
"11",1871-01-11,NA,NA,0
"12",1871-01-12,NA,NA,0
"13",1871-01-13,NA,NA,0
"14",1871-01-14,NA,NA,0
"15",1871-01-15,NA,NA,0.62
"16",1871-01-16,NA,NA,0.02
"17",1871-01-17,NA,NA,0.01
"18",1871-01-18,NA,NA,0.01
"19",1871-01-19,NA,NA,0
"20",1871-01-20,NA,NA,0
"21",1871-01-21,NA,NA,0.41
"22",1871-01-22,NA,NA,0.06
"23",1871-01-23,NA,NA,0.05
"24",1871-01-24,NA,NA,0
"25",1871-01-25,NA,NA,0.02
"26",1871-01-26,NA,NA,0.1
"27",1871-01-27,NA,NA,0.04
"28",1871-01-28,NA,NA,0
"29",1871-01-29,NA,NA,0.12
"30",1871-01-30,NA,NA,0.05
"31",1871-01-31,NA,NA,0.07
"32",1871-02-01,NA,NA,0
"33",1871-02-02,NA,NA,0.1
"34",1871-02-03,NA,NA,0
"35",1871-02-04,NA,NA,0
"36",1871-02-05,NA,NA,0.13
"37",1871-02-06,NA,NA,0
"38",1871-02-07,NA,NA,0.01
"39",1871-02-08,NA,NA,0.03
"40",1871-02-09,NA,NA,0.36
"41",1871-02-10,NA,NA,0.06
"42",1871-02-11,NA,NA,0
"43",1871-02-12,NA,NA,1
"44",1871-02-13,NA,NA,0.05
"45",1871-02-14,NA,NA,0
"46",1871-02-15,NA,NA,0
"47",1871-02-16,NA,NA,0
"48",1871-02-17,NA,NA,0.4
"49",1871-02-18,NA,NA,0.72
"50",1871-02-19,NA,NA,0.09
"51",1871-02-20,NA,NA,0
"52",1871-02-21,NA,NA,0
"53",1871-02-22,NA,NA,0
"54",1871-02-23,NA,NA,0
"55",1871-02-24,NA,NA,0
"56",1871-02-25,NA,NA,0
"57",1871-02-26,NA,NA,0.11
"58",1871-02-27,NA,NA,0.17
"59",1871-02-28,NA,NA,0.02
"60",1871-03-01,NA,NA,0
"61",1871-03-02,NA,NA,0.16
"62",1871-03-03,NA,NA,0.46
"63",1871-03-04,NA,NA,0
"64",1871-03-05,NA,NA,0.02
"65",1871-03-06,NA,NA,0
"66",1871-03-07,NA,NA,0
"67",1871-03-08,NA,NA,0
"68",1871-03-09,NA,NA,0.16
"69",1871-03-10,NA,NA,0
"70",1871-03-11,NA,NA,0
"71",1871-03-12,NA,NA,0.21
"72",1871-03-13,NA,NA,0.05
"73",1871-03-14,NA,NA,0.03
"74",1871-03-15,NA,NA,1.35
"75",1871-03-16,NA,NA,0
"76",1871-03-17,NA,NA,0.11
"77",1871-03-18,NA,NA,0
"78",1871-03-19,NA,NA,0
"79",1871-03-20,NA,NA,0
"80",1871-03-21,NA,NA,0
"81",1871-03-22,NA,NA,0.18
"82",1871-03-23,NA,NA,0.03
"83",1871-03-24,NA,NA,0.22
"84",1871-03-25,NA,NA,0
"85",1871-03-26,NA,NA,0
"86",1871-03-27,NA,NA,0.72
"87",1871-03-28,NA,NA,0.12
"88",1871-03-29,NA,NA,0
"89",1871-03-30,NA,NA,0
"90",1871-03-31,NA,NA,0
"91",1871-04-01,NA,NA,0
"92",1871-04-02,NA,NA,0.09
"93",1871-04-03,NA,NA,0.07
"94",1871-04-04,NA,NA,0.63
"95",1871-04-05,NA,NA,0
"96",1871-04-06,NA,NA,0
"97",1871-04-07,NA,NA,0
"98",1871-04-08,NA,NA,0
"99",1871-04-09,NA,NA,0
"100",1871-04-10,NA,NA,0
"101",1871-04-11,NA,NA,0.28
"102",1871-04-12,NA,NA,0.17
"103",1871-04-13,NA,NA,0.22
"104",1871-04-14,NA,NA,0.32
"105",1871-04-15,NA,NA,0
"106",1871-04-16,NA,NA,0
"107",1871-04-17,NA,NA,0
"108",1871-04-18,NA,NA,0
"109",1871-04-19,NA,NA,0
"110",1871-04-20,NA,NA,0.52
"111",1871-04-21,NA,NA,0
"112",1871-04-22,NA,NA,0.03
"113",1871-04-23,NA,NA,0.04
"114",1871-04-24,NA,NA,0
"115",1871-04-25,NA,NA,0
"116",1871-04-26,NA,NA,0
"117",1871-04-27,NA,NA,0.34
"118",1871-04-28,NA,NA,0.57
"119",1871-04-29,NA,NA,0.16
"120",1871-04-30,NA,NA,0.15
"121",1871-05-01,NA,NA,0
"122",1871-05-02,NA,NA,0
"123",1871-05-03,NA,NA,0
"124",1871-05-04,NA,NA,0.2
"125",1871-05-05,NA,NA,0.84
"126",1871-05-06,NA,NA,0.02
"127",1871-05-07,NA,NA,0.06
"128",1871-05-08,NA,NA,0
"129",1871-05-09,NA,NA,0
"130",1871-05-10,NA,NA,0
"131",1871-05-11,NA,NA,0
"132",1871-05-12,NA,NA,0
"133",1871-05-13,NA,NA,0
"134",1871-05-14,NA,NA,0
"135",1871-05-15,NA,NA,0
"136",1871-05-16,NA,NA,0
"137",1871-05-17,NA,NA,0.06
"138",1871-05-18,NA,NA,0
"139",1871-05-19,NA,NA,0
"140",1871-05-20,NA,NA,0
"141",1871-05-21,NA,NA,0
"142",1871-05-22,NA,NA,0
"143",1871-05-23,NA,NA,0.02
"144",1871-05-24,NA,NA,0
"145",1871-05-25,NA,NA,0
"146",1871-05-26,NA,NA,0.42
"147",1871-05-27,NA,NA,0.06
"148",1871-05-28,NA,NA,0
"149",1871-05-29,NA,NA,0
"150",1871-05-30,NA,NA,0
"151",1871-05-31,NA,NA,0
"152",1871-06-01,NA,NA,0.08
"153",1871-06-02,NA,NA,0
"154",1871-06-03,NA,NA,0
"155",1871-06-04,NA,NA,0
"156",1871-06-05,NA,NA,0
"157",1871-06-06,NA,NA,0
"158",1871-06-07,NA,NA,0.1
"159",1871-06-08,NA,NA,0.04
"160",1871-06-09,NA,NA,0
"161",1871-06-10,NA,NA,0
"162",1871-06-11,NA,NA,1.2
"163",1871-06-12,NA,NA,0.03
"164",1871-06-13,NA,NA,0.06
"165",1871-06-14,NA,NA,0.05
"166",1871-06-15,NA,NA,0.4
"167",1871-06-16,NA,NA,0.4
"168",1871-06-17,NA,NA,0
"169",1871-06-18,NA,NA,0.65
"170",1871-06-19,NA,NA,0.11
"171",1871-06-20,NA,NA,0
"172",1871-06-21,NA,NA,0.11
"173",1871-06-22,NA,NA,0
"174",1871-06-23,NA,NA,0
"175",1871-06-24,NA,NA,0.93
"176",1871-06-25,NA,NA,0.36
"177",1871-06-26,NA,NA,0
"178",1871-06-27,NA,NA,0
"179",1871-06-28,NA,NA,0
"180",1871-06-29,NA,NA,0.02
"181",1871-06-30,NA,NA,0.06
"182",1871-07-01,NA,NA,0
"183",1871-07-02,NA,NA,0
"184",1871-07-03,NA,NA,0
"185",1871-07-04,NA,NA,0.02
"186",1871-07-05,NA,NA,1.94
"187",1871-07-06,NA,NA,0
"188",1871-07-07,NA,NA,0.07
"189",1871-07-08,NA,NA,0
"190",1871-07-09,NA,NA,0.05
"191",1871-07-10,NA,NA,0.08
"192",1871-07-11,NA,NA,0.53
"193",1871-07-12,NA,NA,0.12
"194",1871-07-13,NA,NA,0
"195",1871-07-14,NA,NA,0.11
"196",1871-07-15,NA,NA,0
"197",1871-07-16,NA,NA,0
"198",1871-07-17,NA,NA,0
"199",1871-07-18,NA,NA,0
"200",1871-07-19,NA,NA,0.14
"201",1871-07-20,NA,NA,0.39
"202",1871-07-21,NA,NA,0.02
"203",1871-07-22,NA,NA,0.05
"204",1871-07-23,NA,NA,0
"205",1871-07-24,NA,NA,0
"206",1871-07-25,NA,NA,0
"207",1871-07-26,NA,NA,0.04
"208",1871-07-27,NA,NA,0.03
"209",1871-07-28,NA,NA,0.02
"210",1871-07-29,NA,NA,0
